time,proton_density,numden_p_uncer,proton_bulk_speed,bulk_p_uncer,proton_xvelocity,proton_yvelocity,proton_zvelocity,proton_thermal,thermal_p_uncer,alpha_density,numden_a_uncer,alpha_bulk_speed,bulk_a_uncer,alpha_thermal,thermal_a_uncer,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-07-05 00:00:27.169,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-3.848414370356778,-25.427002995634798,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275914.4816891656,297146.64339002676,-93495.68589202792
2025-07-05 00:00:32.169,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,4.749967103953079,-16.210879905748747,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275914.5032635038,297147.92866266967,-93495.56792450073
2025-07-05 00:00:37.169,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1.5463006927101226,-17.511314094764245,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275914.5248390727,297149.2139589289,-93495.44995403133
2025-07-05 00:00:42.169,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-2.3434122678775466,-10.910101368686234,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275914.5464149327,297150.49922747497,-93495.3319854135
2025-07-05 00:00:47.169,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1.2237471275497072,-12.418390413078868,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275914.567991457,297151.7844939791,-93495.214016209
2025-07-05 00:00:52.169,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,3.4281037818705293,-16.475272974000433,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275914.589569574,297153.06980958465,-93495.09604176361
2025-07-05 00:00:57.169,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1.3438782557845386,-19.902900177437374,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275914.611147172,297154.35504640616,-93494.97807381867
2025-07-05 00:01:02.169,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1.4067991136815152,-18.75994784571815,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275914.6327262262,297155.6403326756,-93494.86010060972
2025-07-05 00:01:07.169,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-2.198830214598935,-13.84983913339947,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275914.6543057235,297156.9255911128,-93494.74212922255
2025-07-05 00:01:12.169,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,3.922816045002353,-11.52242883216919,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275914.6758859092,297158.2108472851,-93494.62415730505
2025-07-05 00:01:17.169,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,3.163759991666481,-17.835238612503893,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275914.6974672368,297159.4961267873,-93494.50618245371
