time,proton_density,numden_p_uncer,proton_bulk_speed,bulk_p_uncer,proton_xvelocity,proton_yvelocity,proton_zvelocity,proton_thermal,thermal_p_uncer,alpha_density,numden_a_uncer,alpha_bulk_speed,bulk_a_uncer,alpha_thermal,thermal_a_uncer,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-07-04 00:00:26.389,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-0.21562835510299294,10.665667858567403,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275642.9302707976,274635.8141817179,-95451.7642331022
2025-07-04 00:00:31.389,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,3.6234329920142763,13.81698867333835,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275642.9405214514,274637.13417413103,-95451.65581721289
2025-07-04 00:00:36.389,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-3.9193655693639755,10.51673807233584,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275642.9507722855,274638.454111773,-95451.54740510305
2025-07-04 00:00:41.389,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-3.858767327827664,12.643594453144743,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275642.9610236662,274639.7740474261,-95451.43899243261
2025-07-04 00:00:46.389,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-5.01441643177597,9.598034882324754,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275642.9712758767,274641.0940075156,-95451.33057701035
2025-07-04 00:00:51.389,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,0.0011037671393516746,14.0295348531142,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275642.981528498,274642.41393921326,-95451.22216327145
2025-07-04 00:00:56.389,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-6.070938337565856,15.923915804993385,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275642.991781612,274643.73386896384,-95451.11374888878
2025-07-04 00:01:01.389,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,3.6800668168593056,10.587033144607823,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275643.0020353198,274645.0537967271,-95451.00533398974
2025-07-04 00:01:06.389,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,0.9992091846835756,14.44197587010649,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275643.0122901066,274646.37377533305,-95450.8969142153
2025-07-04 00:01:11.389,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,4.4267902876547325,7.39355597153255,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1275643.0225450404,274647.69369914784,-95450.78849820857
